ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64, Sum.f64, SumSQ.f64, Min.f64, Max.f64
rtr_0_0, recv_flit_cnt, 0_0_0_0, Accumulator, 1000000000, 0, 83472, 333888, 20868, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_0_0_0, Accumulator, 1000000000, 0, 83376, 333504, 20844, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_0_0_0, Accumulator, 1000000000, 0, 20844, 20844, 20844, 1, 1, 0, 0, 0, 0
rtr_0_0, output_stalls, , Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_1_0_0, Accumulator, 1000000000, 0, 84016, 336064, 21004, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_1_0_0, Accumulator, 1000000000, 0, 83164, 332656, 20791, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_1_0_0, Accumulator, 1000000000, 0, 20791, 20791, 20791, 1, 1, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_4_0_0, Accumulator, 1000000000, 0, 125000, 500000, 31250, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_4_0_0, Accumulator, 1000000000, 0, 125948, 503792, 31487, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_4_0_0, Accumulator, 1000000000, 0, 31487, 31487, 31487, 1, 1, 0, 0, 0, 0
rtr_0_0, tick10_cnt, , Accumulator, 1000000000, 0, 99999, 99999, 99999, 1, 1, 0, 0, 0, 0
rtr_0_0, xbar_idle, port0, Accumulator, 1000000000, 0, 916623, 916623, 916623, 1, 1, 0, 0, 0, 0
rtr_0_0, xbar_blocked, port0, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, xbar_idle, port1, Accumulator, 1000000000, 0, 916835, 916835, 916835, 1, 1, 0, 0, 0, 0
rtr_0_0, xbar_blocked, port1, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, xbar_idle, port2, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, xbar_blocked, port2, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, xbar_idle, port3, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, xbar_blocked, port3, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, xbar_idle, port4, Accumulator, 1000000000, 0, 874051, 874051, 874051, 1, 1, 0, 0, 0, 0
rtr_0_0, xbar_blocked, port4, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
local_ep_0_0_0:networkIF, packets_recv, , Accumulator, 1000000000, 0, 31487, 991431169, 1, 31487, 31487, 0, 0, 0, 0
local_ep_0_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.864103, 355.854369, 18.864103, 18.864103
local_ep_0_0_0:networkIF, average_packet_size, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 4.000000, 16.000000, 4.000000, 4.000000
rtr_1_0, recv_flit_cnt, 1_0_0_0, Accumulator, 1000000000, 0, 83008, 332032, 20752, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_flit_cnt, 1_0_0_0, Accumulator, 1000000000, 0, 83548, 334192, 20887, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_packet_cnt, 1_0_0_0, Accumulator, 1000000000, 0, 20887, 20887, 20887, 1, 1, 0, 0, 0, 0
rtr_1_0, output_stalls, , Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_1_0, recv_flit_cnt, 1_1_0_0, Accumulator, 1000000000, 0, 83784, 335136, 20946, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_flit_cnt, 1_1_0_0, Accumulator, 1000000000, 0, 82864, 331456, 20716, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_packet_cnt, 1_1_0_0, Accumulator, 1000000000, 0, 20716, 20716, 20716, 1, 1, 0, 0, 0, 0
rtr_1_0, recv_flit_cnt, 1_3_0_0, Accumulator, 1000000000, 0, 83164, 332656, 20791, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_flit_cnt, 1_3_0_0, Accumulator, 1000000000, 0, 84016, 336064, 21004, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_packet_cnt, 1_3_0_0, Accumulator, 1000000000, 0, 21004, 21004, 21004, 1, 1, 0, 0, 0, 0
rtr_1_0, recv_flit_cnt, 1_4_0_0, Accumulator, 1000000000, 0, 125000, 500000, 31250, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_flit_cnt, 1_4_0_0, Accumulator, 1000000000, 0, 124528, 498112, 31132, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_packet_cnt, 1_4_0_0, Accumulator, 1000000000, 0, 31132, 31132, 31132, 1, 1, 0, 0, 0, 0
rtr_1_0, tick10_cnt, , Accumulator, 1000000000, 0, 99999, 99999, 99999, 1, 1, 0, 0, 0, 0
rtr_1_0, xbar_idle, port0, Accumulator, 1000000000, 0, 916451, 916451, 916451, 1, 1, 0, 0, 0, 0
rtr_1_0, xbar_blocked, port0, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_1_0, xbar_idle, port1, Accumulator, 1000000000, 0, 917135, 917135, 917135, 1, 1, 0, 0, 0, 0
rtr_1_0, xbar_blocked, port1, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_1_0, xbar_idle, port2, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_1_0, xbar_blocked, port2, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_1_0, xbar_idle, port3, Accumulator, 1000000000, 0, 915983, 915983, 915983, 1, 1, 0, 0, 0, 0
rtr_1_0, xbar_blocked, port3, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_1_0, xbar_idle, port4, Accumulator, 1000000000, 0, 875471, 875471, 875471, 1, 1, 0, 0, 0, 0
rtr_1_0, xbar_blocked, port4, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
local_ep_1_0_0:networkIF, packets_recv, , Accumulator, 1000000000, 0, 31132, 969201424, 1, 31132, 31132, 0, 0, 0, 0
local_ep_1_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.323269, 300.095637, 17.323269, 17.323269
local_ep_1_0_0:networkIF, average_packet_size, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 4.000000, 16.000000, 4.000000, 4.000000
rtr_2_0, recv_flit_cnt, 2_0_0_0, Accumulator, 1000000000, 0, 84200, 336800, 21050, 4, 4, 0, 0, 0, 0
rtr_2_0, sent_flit_cnt, 2_0_0_0, Accumulator, 1000000000, 0, 82340, 329360, 20585, 4, 4, 0, 0, 0, 0
rtr_2_0, sent_packet_cnt, 2_0_0_0, Accumulator, 1000000000, 0, 20585, 20585, 20585, 1, 1, 0, 0, 0, 0
rtr_2_0, output_stalls, , Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_2_0, recv_flit_cnt, 2_3_0_0, Accumulator, 1000000000, 0, 82864, 331456, 20716, 4, 4, 0, 0, 0, 0
rtr_2_0, sent_flit_cnt, 2_3_0_0, Accumulator, 1000000000, 0, 83784, 335136, 20946, 4, 4, 0, 0, 0, 0
rtr_2_0, sent_packet_cnt, 2_3_0_0, Accumulator, 1000000000, 0, 20946, 20946, 20946, 1, 1, 0, 0, 0, 0
rtr_2_0, recv_flit_cnt, 2_4_0_0, Accumulator, 1000000000, 0, 125000, 500000, 31250, 4, 4, 0, 0, 0, 0
rtr_2_0, sent_flit_cnt, 2_4_0_0, Accumulator, 1000000000, 0, 125940, 503760, 31485, 4, 4, 0, 0, 0, 0
rtr_2_0, sent_packet_cnt, 2_4_0_0, Accumulator, 1000000000, 0, 31485, 31485, 31485, 1, 1, 0, 0, 0, 0
rtr_2_0, tick10_cnt, , Accumulator, 1000000000, 0, 99999, 99999, 99999, 1, 1, 0, 0, 0, 0
rtr_2_0, xbar_idle, port0, Accumulator, 1000000000, 0, 917659, 917659, 917659, 1, 1, 0, 0, 0, 0
rtr_2_0, xbar_blocked, port0, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_2_0, xbar_idle, port1, Accumulator, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
