ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64, Sum.f64, SumSQ.f64, Min.f64, Max.f64
rtr_0_0, recv_flit_cnt, 0_0_0_0, Accumulator, 501000000, 0, 28028, 112112, 7007, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_0_0_0, Accumulator, 501000000, 0, 28164, 112656, 7041, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_0_0_0, Accumulator, 501000000, 0, 7041, 7041, 7041, 1, 1, 0, 0, 0, 0
rtr_0_0, output_stalls, , Accumulator, 501000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_1_0_0, Accumulator, 501000000, 0, 28168, 112672, 7042, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_1_0_0, Accumulator, 501000000, 0, 28204, 112816, 7051, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_1_0_0, Accumulator, 501000000, 0, 7051, 7051, 7051, 1, 1, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_2_0_0, Accumulator, 501000000, 0, 28100, 112400, 7025, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_2_0_0, Accumulator, 501000000, 0, 28048, 112192, 7012, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_2_0_0, Accumulator, 501000000, 0, 7012, 7012, 7012, 1, 1, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_3_0_0, Accumulator, 501000000, 0, 28672, 114688, 7168, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_3_0_0, Accumulator, 501000000, 0, 28128, 112512, 7032, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_3_0_0, Accumulator, 501000000, 0, 7032, 7032, 7032, 1, 1, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_4_0_0, Accumulator, 501000000, 0, 75152, 300608, 18788, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_4_0_0, Accumulator, 501000000, 0, 75572, 302288, 18893, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_4_0_0, Accumulator, 501000000, 0, 18893, 18893, 18893, 1, 1, 0, 0, 0, 0
rtr_0_0, tick10_cnt, , Accumulator, 501000000, 0, 50100, 50100, 50100, 1, 1, 0, 0, 0, 0
rtr_0_0, xbar_idle, port0, Accumulator, 501000000, 0, 472836, 472836, 472836, 1, 1, 0, 0, 0, 0
rtr_0_0, xbar_blocked, port0, Accumulator, 501000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, xbar_idle, port1, Accumulator, 501000000, 0, 472793, 472793, 472793, 1, 1, 0, 0, 0, 0
rtr_0_0, xbar_blocked, port1, Accumulator, 501000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, xbar_idle, port2, Accumulator, 501000000, 0, 472952, 472952, 472952, 1, 1, 0, 0, 0, 0
rtr_0_0, xbar_blocked, port2, Accumulator, 501000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, xbar_idle, port3, Accumulator, 501000000, 0, 472872, 472872, 472872, 1, 1, 0, 0, 0, 0
rtr_0_0, xbar_blocked, port3, Accumulator, 501000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, xbar_idle, port4, Accumulator, 501000000, 0, 425428, 425428, 425428, 1, 1, 0, 0, 0, 0
rtr_0_0, xbar_blocked, port4, Accumulator, 501000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
local_ep_0_0_0:networkIF, packets_recv, , Accumulator, 501000000, 0, 18893, 356945449, 1, 18893, 18893, 0, 0, 0, 0
local_ep_0_0_0:networkIF, average_noc_latency, , Accumulator, 501000000, 0, 0, 0, 1, 0, 0, 16.799344, 282.217948, 16.799344, 16.799344
local_ep_0_0_0:networkIF, average_packet_size, , Accumulator, 501000000, 0, 0, 0, 1, 0, 0, 4.000000, 16.000000, 4.000000, 4.000000
rtr_1_0, recv_flit_cnt, 1_0_0_0, Accumulator, 501000000, 0, 28476, 113904, 7119, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_flit_cnt, 1_0_0_0, Accumulator, 501000000, 0, 28480, 113920, 7120, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_packet_cnt, 1_0_0_0, Accumulator, 501000000, 0, 7120, 7120, 7120, 1, 1, 0, 0, 0, 0
rtr_1_0, output_stalls, , Accumulator, 501000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_1_0, recv_flit_cnt, 1_1_0_0, Accumulator, 501000000, 0, 28132, 112528, 7033, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_flit_cnt, 1_1_0_0, Accumulator, 501000000, 0, 27980, 111920, 6995, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_packet_cnt, 1_1_0_0, Accumulator, 501000000, 0, 6995, 6995, 6995, 1, 1, 0, 0, 0, 0
rtr_1_0, recv_flit_cnt, 1_2_0_0, Accumulator, 501000000, 0, 27912, 111648, 6978, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_flit_cnt, 1_2_0_0, Accumulator, 501000000, 0, 28012, 112048, 7003, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_packet_cnt, 1_2_0_0, Accumulator, 501000000, 0, 7003, 7003, 7003, 1, 1, 0, 0, 0, 0
rtr_1_0, recv_flit_cnt, 1_3_0_0, Accumulator, 501000000, 0, 28204, 112816, 7051, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_flit_cnt, 1_3_0_0, Accumulator, 501000000, 0, 28168, 112672, 7042, 4, 4, 0, 0, 0, 0
rtr_1_0, sent_packet_cnt, 1_3_0_0, Accumulator, 501000000, 0, 7042, 7042, 7042, 1, 1, 0, 0, 0, 0
